iter	RMSE
0	1.0742974
1	1.066297542
2	1.059351718
3	1.050385085
4	1.043839341
5	1.034546167
6	1.025038334
7	1.018188563
8	1.008656162
9	1.000448762
10	0.9947313954
11	0.9880543814
12	0.9806607305
13	0.9742262091
14	0.9679996288
15	0.9596381069
16	0.9532816588
17	0.9433655947
18	0.9349368466
19	0.9294285147
20	0.9244930511
21	0.9163341846
22	0.9103053565
23	0.9013567787
24	0.8949873336
25	0.88879611
26	0.8837927936
27	0.8749776021
28	0.86935926
29	0.8626858308
30	0.8565506455
31	0.8516579736
32	0.8452927049
33	0.8388231495
34	0.8332735117
35	0.8283123898
36	0.8218209706
37	0.8176038508
38	0.8123406429
39	0.8072370568
40	0.8014924022
41	0.7954171264
42	0.7874783647
43	0.7814097577
44	0.7762961919
45	0.771912345
46	0.7660313958
47	0.7603139745
48	0.7550064776
49	0.7493679393
50	0.7442500974
51	0.7384964059
52	0.7333281724
53	0.7265349761
54	0.7209714978
55	0.7143125359
56	0.7094303957
57	0.7047315823
58	0.7008477604
59	0.6954048306
60	0.691796509
61	0.6873706059
62	0.6823246801
63	0.6785280132
64	0.6732765002
65	0.6680285234
66	0.6641516614
67	0.659696797
68	0.6550116663
69	0.6510751078
70	0.6466912193
71	0.6431215628
72	0.63719214
73	0.6314155285
74	0.6267332228
75	0.6226768023
76	0.6191257278
77	0.6150676124
78	0.610587872
79	0.6067094453
80	0.6024071647
81	0.5984416054
82	0.5948307283
83	0.5905136602
84	0.5868106915
85	0.5825487646
86	0.5777934808
87	0.5743463934
88	0.5708271897
89	0.5673434864
90	0.5648650751
91	0.5596687691
92	0.5560459326
93	0.551176569
94	0.5475649164
95	0.544292868
96	0.5409954604
97	0.5368523568
98	0.5337367037
99	0.5291307138
100	0.5254537234
101	0.5207042825
102	0.5168826916
103	0.5143366842
104	0.5112996275
105	0.5092791472
106	0.5058373548
107	0.5029361826
108	0.4984969323
109	0.4949085685
110	0.4913021898
111	0.4885208322
112	0.4855588652
113	0.4827657559
114	0.4799798644
115	0.4776934759
116	0.4735670463
117	0.4700863325
118	0.4668282801
119	0.464073813
120	0.4612205768
121	0.4586836807
122	0.4557689516
123	0.4522001764
124	0.4497232912
125	0.446892565
126	0.4438198446
127	0.4403511779
128	0.4377344298
129	0.4350345023
130	0.4324210905
131	0.4295894584
132	0.4267755588
133	0.4242178182
134	0.420853992
135	0.4182174134
136	0.4153481203
137	0.4131969425
138	0.4105994641
139	0.4084594029
140	0.4067711415
141	0.4035992122
142	0.4010378375
143	0.3982390776
144	0.3956932517
145	0.3926365383
146	0.3897758673
147	0.3867690027
148	0.383856356
149	0.3812562998
150	0.3785676275
151	0.3760137346
152	0.3740495783
153	0.3720892415
154	0.3701500484
155	0.3677937235
156	0.3649652231
157	0.3630796379
158	0.3608106993
159	0.3594180246
160	0.3569540723
161	0.3546124506
162	0.3530277699
163	0.3509073386
164	0.348527533
165	0.3465818388
166	0.3441492274
167	0.3420938503
168	0.3392534408
169	0.3364941815
170	0.3344036898
171	0.3322772429
172	0.3302632732
173	0.3283770113
174	0.3262112623
175	0.324501075
176	0.3221058771
177	0.3201385717
178	0.3184344639
179	0.3162538199
180	0.3146975772
181	0.3127128996
182	0.3104779936
183	0.3087578906
184	0.306636347
185	0.3042179007
186	0.3026941413
187	0.3012865768
188	0.2996298241
189	0.2979071956
190	0.2958790387
191	0.2936511987
192	0.2917808245
193	0.2902363286
194	0.288567334
195	0.287050183
196	0.2851152044
197	0.2830616875
198	0.2813273201
199	0.2794520969
200	0.2780695909
201	0.2764354908
202	0.2740883913
203	0.272295866
204	0.2701818964
205	0.2684462197
206	0.2665467684
207	0.2645977138
208	0.263571774
209	0.2621868297
210	0.2613745868
211	0.2591596171
212	0.2574926705
213	0.2558295506
214	0.254396434
215	0.2527943482
216	0.2511291331
217	0.2495874049
218	0.248256903
219	0.2467941637
220	0.2452930931
221	0.2433192026
222	0.2417152143
223	0.2402066775
224	0.2388737229
225	0.2374058849
226	0.2360394755
227	0.2343012085
228	0.2330683441
229	0.2315777367
230	0.2301326305
231	0.2283099847
232	0.2268981039
233	0.2256710611
234	0.2242973719
235	0.2229920922
236	0.2213696637
237	0.2197527272
238	0.218084173
239	0.2167890102
240	0.2150012017
241	0.2134855214
242	0.2119907196
243	0.2105923833
244	0.2088110785
245	0.2072889495
246	0.205777997
247	0.2043582883
248	0.2028787874
249	0.2016643003
250	0.2001490286
251	0.1985788563
252	0.1971373989
253	0.1958336671
254	0.1947608126
255	0.1931815399
256	0.1918114109
257	0.1904243614
258	0.18920968
259	0.1875651315
260	0.1864684909
261	0.1851296141
262	0.1839354103
263	0.1828233033
